cca301s1g00043,cpa1s1g00620,dz186s6g00774,ga198s11g03403,hli2s8g00012,hum1sNW_018397273.1g00053,opy300s25g00677,tc180s4g00387
cca301s4g00548,cpa1s7g02050,dz186s5g00225,ga198s7g01621,hli2s14g01448,hum1sNW_018397258.1g00348,opy300s13g00576,tc180s1g02782
cca301s4g00562,cpa1s5g00674,dz186s13g00165,ga198s8g00376,hli2s14g01458,hum1sNW_018397499.1g00001,opy300s31g00467,tc180s1g02797
cca301s4g00647,cpa1s5g01417,dz186s5g00134,ga198s12g01963,hli2s9g01151,hum1sNW_018397258.1g00223,opy300s16g01164,tc180s1g02898
cca301s4g00700,cpa1s3g02031,dz186s5g00085,ga198s12g01935,hli2s9g01220,hum1sNW_018397258.1g00137,opy300s16g01198,Tc01v2_t033770.2
cca301s4g00729,cpa1s8g00633,dz186s5g00046,ga198s8g01698,hli2s14g01594,hum1sNW_018397258.1g00092,opy300s14g01058,tc180s1g03049
cca301s4g00736,cpa1s8g00617,dz186s13g00024,ga198s8g00647,hli2s14g01602,hum1sNW_018397258.1g00082,opy300s16g01231,tc180s1g03058
cca301s4g00805,cpa1s3g02596,dz186s13g00622,ga198s11g02749,hli2s14g00886,hum1sNW_018397258.1g01183,opy300s12g02421,tc180s1g02029
cca301s4g00810,cpa1s3g02603,dz186s30g00175,ga198s8g00775,hli2s14g00890,hum1sNW_018397258.1g01177,opy300s13g00170,tc180s1g02034
cca301s4g00812,cpa1s3g02605,dz186s13g00619,ga198s8g02190,hli2s14g00895,hum1sNW_018397258.1g01175,opy300s14g00615,tc180s1g02036
cca301s4g00847,cpa1s3g02251,dz186s5g00817,ga198s11g02777,hli2s9g00599,hum1sNW_018397258.1g01119,opy300s12g02382,tc180s1g02085
cca301s4g00858,cpa1s5g00203,dz186s5g00806,ga198s12g02857,hli2s14g00938,hum1sNW_018397258.1g01106,opy300s16g00655,tc180s1g02096
cca301s4g00860,cpa1s5g00205,dz186s5g00805,ga198s8g00822,hli2s14g00940,hum1sNW_018397258.1g01104,opy300s13g00215,tc180s1g02099
cca301s4g00864,cpa1s5g00210,dz186s5g00802,ga198s8g02175,hli2s14g00944,hum1sNW_018397258.1g01096,opy300s14g00643,tc180s1g02104
cca301s4g00880,cpa1s5g00230,dz186s13g00576,ga198s12g02843,hli2s14g00961,hum1sNW_018397258.1g01070,opy300s16g00670,tc180s1g02126
cca301s4g00928,cpa1s5g00285,dz186s5g00734,ga198s11g02836,hli2s14g01013,hum1sNW_018397258.1g01012,opy300s12g02310,tc180s1g02183
cca301s4g00935,cpa1s5g00301,dz186s5g00726,ga198s12g01575,hli2s14g01019,hum1sNW_018397258.1g01002,opy300s16g00719,tc180s1g02197
cca301s4g00981,cpa1s5g00539,dz186s13g00492,ga198s11g02867,hli2s14g01071,hum1sNW_018397258.1g00920,opy300s12g02259,tc180s1g02268
cca301s4g01171,cpa1s5g01010,dz186s13g00343,ga198s8g01482,hli2s14g01260,hum1sNW_018397258.1g00641,opy300s14g00810,tc180s1g02510
cca301s4g01178,cpa1s5g01033,dz186s5g00469,ga198s11g03013,hli2s9g00887,hum1sNW_018397258.1g00658,opy300s12g02067,tc180s1g02498
cca301s4g01191,cpa1s5g00982,dz186s5g00442,ga198s12g01793,hli2s9g00904,hum1sNW_018397258.1g00616,opy300s16g00949,tc180s1g02532
cca301s4g01193,cpa1s5g00977,dz186s5g00439,ga198s8g01496,hli2s9g00906,hum1sNW_018397258.1g00614,opy300s14g00822,tc180s1g02536
cca301s4g01221,cpa1s5g00924,dz186s5g00408,ga198s11g03059,hli2s9g00941,hum1sNW_018397258.1g00572,opy300s12g02000,tc180s1g02573
cca301s4g01255,cpa1s5g00871,dz186s13g00270,ga198s11g03088,hli2s14g01338,hum1sNW_018397258.1g00520,opy300s12g01968,tc180s1g02617
cca301s4g01321,cpa1s1g02674,dz186s2g01387,ga198s5g02239,hli2s7g00674,hum1sNW_018397260.1g00598,opy300s40g00490,tc180s8g00661
cca301s4g01389,cpa1s1g02742,dz186s27g00372,ga198s5g02309,hli2s7g00609,hum1sNW_018397260.1g00686,opy300s1g01780,tc180s8g00589
cca301s4g01404,cpa1s1g02406,dz186s27g00380,ga198s5g02322,hli2s6g01110,hum1sNW_018397260.1g00709,opy300s40g00564,tc180s8g00572
cca301s4g01552,cpa1s1g01684,dz186s29g00434,ga198s5g02438,hli2s6g00982,hum1sNW_018397260.1g00383,opy300s40g00693,tc180s8g00862
cca301s4g01573,cpa1s8g00486,dz186s8g00290,ga198s8g00316,hli2s6g01175,hum1sNW_018397258.1g00001,opy300s42g00505,tc180s1g03130
cca301s4g01614,cpa1s1g02138,dz186s29g00465,ga198s6g00402,hli2s6g00942,hum1sNW_018397260.1g00336,opy300s1g01931,tc180s8g00907
cca301s4g01782,cpa1s1g01554,dz186s2g01051,ga198s2g00823,hli2s6g00863,hum1sNW_018397260.1g00207,opy300s1g02011,tc180s8g01036
cca301s4g01827,cpa1s1g01281,dz186s2g01022,ga198s2g00812,hli2s7g00316,hum1sNW_018397260.1g00180,opy300s1g02034,tc180s8g01060
cca301s4g01924,cpa1s1g02052,dz186s29g00562,ga198s5g02582,hli2s6g00808,hum1sNW_018397260.1g00135,opy300s18g00040,tc180s8g01145
cca301s4g01975,cpa1s1g02043,dz186s2g00989,ga198s2g00740,hli2s6g00804,hum1sNW_018397260.1g00126,opy300s1g02065,tc180s8g01155
cca301s4g02120,cpa1s8g01848,dz186s2g00183,ga198stig00001204g00001,hli2s11g00500,hum1sNW_018397259.1g00288,opy300s4g01162,tc180s5g01239
cca301s4g02126,cpa1s3g00935,dz186s20g00078,ga198s12g01485,hli2s7g00002,hum1sNW_018397254.1g02038,opy300s10g00723,tc180s2g01361
cca301s4g02234,cpa1s5g02211,dz186s20g00004,ga198s3g02179,hli2s16g00367,hum1sNW_018397254.1g02008,opy300s12g01568,tc180s2g01331
cca301s4g02374,cpa1s6g01278,dz186s12g00726,ga198s13g00698,hli2s17g00771,hum1sNW_018397254.1g01839,opy300s12g01470,tc180s2g01180
cca301s4g02472,cpa1s6g01321,dz186s20g00481,ga198s13g00588,hli2s10g00688,hum1sNW_018397254.1g01736,opy300s7g01600,tc180s2g01085
cca301s4g02522,cpa1s2g02681,dz186s12g00565,ga198s12g01466,hli2s17g01028,hum1sNW_018397254.1g02243,opy300s10g00782,tc180s2g01561
cca301s4g02546,cpa1s8g01355,dz186s8g00966,ga198s3g01938,hli2s18g00876,hum1sNW_018397266.1g00708,opy300s12g00422,tc180s2g01708
cca301s4g02568,cpa1s8g01336,dz186s25g00068,ga198s5g03592,hli2s18g00678,hum1sNW_018397266.1g00693,opy300s18g00800,tc180s2g01723
cca301s4g02619,cpa1s8g01316,dz186s25g00087,ga198s5g03584,hli2s18g00665,hum1sNW_018397266.1g00674,opy300s18g00789,tc180s2g01745
cca301s4g02688,cpa1s8g01212,dz186s25g00135,ga198s3g01846,hli2s17g01197,hum1sNW_018397266.1g00581,opy300s12g00516,tc180s2g01833
cca301s4g02769,cpa1s8g01108,dz186s8g01091,ga198s12g00098,hli2s18g00519,hum1sNW_018397266.1g00481,opy300s18g00890,tc180s2g01927
cca301s4g02832,cpa1s6g00618,dz186s7g00554,ga198s13g00170,hli2s16g01171,hum1sNW_018397268.1g00115,opy300s28g00530,tc180s10g00115
cca301s4g02887,cpa1s6g01826,dz186s25g00299,ga198s4g00004,hli2s18g00423,hum1sNW_018397254.1g02199,opy300s35g00230,tc180s2g01517
cca301s4g02895,cpa1s6g01834,dz186s12g00309,ga198s3g01669,hli2s17g01375,hum1sNW_018397254.1g02189,opy300s35g00225,tc180s2g01508
cca301s4g02963,cpa1s2g01975,dz186s25g00354,ga198s2g00958,hli2s17g01421,hum1sNW_018397615.1g00001,opy300s7g00842,tc180s2g02073
cca301s4g02969,cpa1s2g01967,dz186s25g00360,ga198s2g00965,hli2s17g01433,hum1sNW_018397266.1g00323,opy300s7g00846,tc180s2g02080
cca301s4g03004,cpa1s1g00156,dz186s12g00256,ga198stig00015727g00063,hli2s17g01464,hum1sNW_018397266.1g00282,opy300s35g00178,tc180s2g02124
cca301s4g03107,cpa1s4g01600,dz186s25g00481,ga198s3g01524,hli2s18g00256,hum1sNW_018397266.1g00163,opy300s12g00222,tc180s2g02243
cca301s4g03213,cpa1s2g00714,dz186s12g00163,ga198s12g01249,hli2s17g01604,hum1sNW_018397266.1g00043,opy300s10g01110,tc180s2g02348
cca301s4g03265,cpa1s2g00668,dz186s12g00125,ga198s13g00983,hli2s17g01645,hum1sNW_018397283.1g00020,opy300s10g01137,tc180s2g02414
cca301s4g03269,cpa1s1g01622,dz186s8g01352,ga198s3g01435,hli2s17g01650,hum1sNW_018397283.1g00024,opy300s12g00137,tc180s2g02418
cca301s4g03293,cpa1s2g00633,dz186s8g01371,ga198s13g00954,hli2s17g01664,hum1sNW_018397283.1g00057,opy300s7g00160,tc180s2g02450
cca301s4g03325,cpa1s2g00590,dz186s8g01391,ga198s13g00913,hli2s18g00099,hum1sNW_018397283.1g00098,opy300s7g00123,tc180s2g02492
cca301s4g03394,cpa1s8g01391,dz186s8g01434,ga198s13g00844,hli2s17g01747,hum1sNW_018397283.1g00189,opy300s7g00061,tc180s2g02576
cca301s4g03400,cpa1s8g01384,dz186s12g00052,ga198s13g00831,hli2s17g01754,hum1sNW_018397283.1g00196,opy300s7g00057,tc180s2g02582
cca301s4g03421,cpa1s2g00747,dz186s25g00752,ga198s13g00802,hli2s18g00025,hum1sNW_018397283.1g00221,opy300s7g00040,tc180s2g02604
cca301s4g03429,cpa1s2g00758,dz186s25g00759,ga198s12g01144,hli2s18g00017,hum1sNW_018397283.1g00235,opy300s10g01268,tc180s2g02615
cca301s4g03519,cpa1s3g00494,dz186s26g00371,ga198s7g01419,hli2s3g00950,hum1sNW_018397264.1g00655,opy300s29g00485,tc180s4g01614
cca301s4g03556,cpa1s3g00534,dz186s19g00496,ga198s9g02357,hli2s10g00383,hum1sNW_018397264.1g00701,opy300s27g00397,tc180s4g01662
cca301s4g03641,cpa1s3g00652,dz186s26g00284,ga198s9g02570,hli2s3g01085,hum1sNW_018397264.1g00808,opy300s27g00282,tc180s4g01774
cca301s4g03668,cpa1s3g00665,dz186s26g00274,ga198stig00024850g00004,hli2s3g01100,hum1sNW_018397264.1g00823,opy300s42g00184,tc180s4g01790
cca301s4g03680,cpa1s3g00699,dz186s19g00627,ga198s10g01281,hli2s3g01121,hum1sNW_018397264.1g00856,opy300s29g00324,tc180s4g01820
cca301s4g03772,cpa1s3g00779,dz186s19g00698,ga198s3g00570,hli2s3g01183,hum1sNW_018397264.1g00945,opy300s39g00752,tc180s4g01903
cca301s4g03783,cpa1s6g00741,dz186s17g00748,ga198s12g02772,hli2s10g00727,hum1sNW_018397254.1g01677,opy300s7g01571,tc180s2g01029
cca301s4g03850,cpa1s3g02137,dz186s19g00769,ga198s9g02662,hli2s3g01237,hum1sNW_018397264.1g01040,opy300s27g00171,tc180s4g01993
cca301s4g03861,cpa1s3g02161,dz186s19g00781,ga198s10g01162,hli2s3g01248,hum1sNW_018397264.1g01056,opy300s29g00198,tc180s4g02008
cca301s4g03915,cpa1s3g02216,dz186s19g00830,ga198s10g01126,hli2s3g01291,hum1sNW_018397264.1g01123,opy300s29g00168,tc180s4g02064
cca301s4g03989,cpa1s5g00113,dz186s26g00055,ga198s10g01004,hli2s3g01372,hum1sNW_018397264.1g01252,opy300s27g00169,tc180s4g02189
cca301s4g03993,cpa1s5g00106,dz186s20g00359,ga198s3g00618,hli2s10g00048,hum1sNW_018397264.1g01257,opy300s39g00600,tc180s4g02195
cca301s4g04002,cpa1s5g00097,dz186s19g00942,ga198s3g00620,hli2s3g01381,hum1sNW_018397264.1g01265,opy300s39g00594,tc180s4g02203
cca301s4g04014,cpa1s5g00064,dz186s19g00956,ga198s9g02744,hli2s3g01397,hum1sNW_018397264.1g01289,opy300s27g00021,tc180s4g02224
cca301s5g00004,cpa1s5g00325,dz186s2g00879,ga198stig00000254g00017,hli2s16g00004,hum1sNW_018397263.1g00007,opy300s9g00012,tc180s5g00004
cca301s5g00063,cpa1s8g00909,dz186s4g01628,ga198s4g00594,hli2s16g00049,hum1sNW_018397263.1g00078,opy300s4g01756,tc180s5g00090
cca301s5g00073,cpa1s8g00863,dz186s2g00799,ga198s9g01984,hli2s11g00052,hum1sNW_018397263.1g00090,opy300s1g03157,tc180s5g00105
cca301s5g00124,cpa1s8g00334,dz186s4g01598,ga198s9g01961,hli2s11g00086,hum1sNW_018397263.1g00149,opy300s4g01712,tc180s5g00157
cca301s5g00139,cpa1s8g00322,dz186s4g01589,ga198s9g01954,hli2s16g00102,hum1sNW_018397263.1g00165,opy300s1g03122,tc180s5g00168
cca301s5g00198,cpa1s8g00267,dz186s4g01552,ga198s2g01728,hli2s16g00147,hum1sNW_018397263.1g00230,opy300s9g00119,tc180s5g00235
cca301s5g00234,cpa1s8g00754,dz186s4g01531,ga198s9g01759,hli2s11g00156,hum1sNW_018397263.1g00274,opy300s1g03022,tc180s5g00300
cca301s5g00329,cpa1s8g00054,dz186s4g01461,ga198s4g00790,hli2s16g00258,hum1sNW_018397263.1g00390,opy300s4g01536,tc180s5g00420
cca301s5g00481,cpa1s8g01513,dz186s2g00448,ga198s4g00903,hli2s16g00355,hum1sNW_018397263.1g00546,opy300s4g01429,tc180s5g00577
cca301s5g00485,cpa1s8g01514,dz186s7g01335,ga198s11g00088,hli2s11g00310,hum1sNW_018397263.1g00550,opy300s37g00174,tc180s5g00581
cca301s5g00499,cpa1s4g00130,dz186s9g00230,ga198s11g03543,hli2s4g00993,hum1sNW_018397255.1g00726,opy300s25g00232,tc180s1g00721
cca301s5g00501,cpa1s8g01530,XP_022767209.1,ga198s2g01626,hli2s16g00371,hum1sNW_018397263.1g00567,opy300s9g00272,tc180s5g00600
cca301s5g00626,cpa1s8g01659,dz186s2g00334,ga198stig00019723g00002,hli2s16g00448,hum1sNW_018397263.1g00691,opy300s4g01302,tc180s5g00729
cca301s5g00644,cpa1s8g01678,dz186s2g00315,ga198s9g01621,hli2s16g00463,hum1sNW_018397263.1g00712,opy300s1g02769,tc180s5g00750
cca301s5g00684,cpa1s8g01726,dz186s2g00275,ga198s2g01520,hli2s16g00487,hum1sNW_018397263.1g00752,opy300s9g00365,tc180s5g00797
cca301s5g00685,cpa1s5g01981,dz186s2g00274,ga198s9g01534,hli2s16g00488,hum1sNW_018397263.1g00753,opy300s4g01256,tc180s5g00798
cca301s5g00732,cpa1s3g02407,dz186s6g01058,ga198s10g01854,hli2s8g00509,hum1sNW_018397258.1g01442,opy300s20g00216,tc180s1g01799
cca301s5g00770,cpa1s3g02393,XP_022762528.1,ga198s3g02062,hli2s10g00472,hum1sNW_018397254.1g02090,opy300s12g01613,tc180s2g01403
cca301s5g00798,cpa1s8g01812,dz186s4g01229,ga198s5g02767,hli2s11g00481,hum1sNW_018397259.1g00320,opy300s28g00295,tc180s5g01264
cca301s5g00814,cpa1s2g00944,dz186s4g01220,ga198s9g01476,hli2s16g00568,hum1sNW_018397259.1g00302,opy300s4g01177,tc180s5g01252
cca301s5g00902,cpa1s8g01878,dz186s4g01188,ga198s2g01407,hli2s16g00606,hum1sNW_018397259.1g00237,opy300s9g00719,tc180s5g01190
cca301s5g00992,cpa1s8g01946,dz186s4g01153,ga198s1g01257,hli2s16g00671,hum1sNW_018397259.1g00155,opy300s28g00343,tc180s5g01123
cca301s5g01034,cpa1s8g01967,dz186s2g00076,ga198s11g02240,hli2s16g00694,hum1sNW_018397259.1g00127,opy300s28g00353,tc180s5g01091
cca301s5g01157,cpa1s6g02011,dz186s4g00625,ga198s9g01365,hli2s19g01064,hum1sNW_018397259.1g00040,opy300s1g02353,tc180s5g01014
cca301s5g01304,cpa1s8g01004,dz186s4g00678,ga198s8g00203,hli2s19g01138,hum1sNW_018397271.1g00021,opy300s9g00450,tc180s5g00898
cca301s5g01379,cpa1s1g01090,dz186s18g00161,ga198s2g00844,hli2s19g01200,hum1sNW_018397259.1g00372,opy300s28g00616,tc180s5g01316
cca301s5g01437,cpa1s1g00328,dz186s23g00711,ga198s12g02260,hli2s19g01167,hum1sNW_018397271.1g00086,opy300s30g00659,tc180s5g00958
cca301s5g01492,cpa1s8g01002,dz186s4g00540,ga198s4g01862,hli2s19g01267,hum1sNW_018397259.1g00451,opy300s4g00768,tc180s5g01393
cca301s5g01497,cpa1s8g00676,dz186s4g00523,ga198s8g02662,hli2s11g01530,hum1sNW_018397259.1g00453,opy300s30g00381,tc180s5g01397
cca301s5g01654,cpa1s6g01871,dz186s18g00292,ga198s13g01972,hli2s11g01590,hum1sNW_018397259.1g00575,opy300s44g00387,tc180s5g01517
cca301s5g01706,cpa1s6g01861,dz186s4g00432,ga198s13g01227,hli2s11g01594,hum1sNW_018397259.1g00587,opy300s28g00812,tc180s5g01548
cca301s5g01784,cpa1s6g01970,dz186s18g00382,ga198s11g01430,hli2s11g01644,hum1sNW_018397259.1g00680,opy300s4g00620,tc180s5g01648
cca301s5g01941,cpa1s6g02042,dz186s4g00331,ga198s13g02093,hli2s19g01680,hum1sNW_018397259.1g00783,opy300s44g00277,tc180s5g01731
cca301s5g02085,cpa1s6g02167,dz186s7g00181,ga198s11g01090,hli2s11g01850,hum1sNW_018397259.1g00926,opy300s4g00391,tc180s5g01875
cca301s5g02114,cpa1s6g02207,dz186s18g00612,ga198s11g01118,hli2s11g01861,hum1sNW_018397259.1g00951,opy300s4g00363,tc180s5g01902
cca301s5g02137,cpa1s2g00141,dz186s20g00691,ga198s1g00054,hli2s10g00982,hum1sNW_018397261.1g00788,opy300s24g00125,tc180s2g00644
cca301s5g02332,cpa1s3g00248,dz186s4g00105,ga198s11g00917,hli2s5g01175,hum1sNW_018397259.1g01235,opy300s4g00164,tc180s5g02174
cca301s5g02403,cpa1s3g00185,dz186s7g00064,ga198s11g00878,hli2s19g02077,hum1sNW_018397259.1g01249,opy300s44g00074,Tc05v2_t025720.2
cca301s5g02461,cpa1s3g00240,dz186s18g00944,ga198s8g02428,hli2s11g02099,hum1sNW_018397259.1g01312,opy300s30g00056,tc180s5g02246
cca301s5g02493,cpa1s3g00086,dz186s18g00972,ga198s8g02410,hli2s19g02155,hum1sNW_018397259.1g01352,opy300s30g00036,tc180s5g02284
cca301s5g02527,cpa1s3g00031,dz186s18g01012,ga198s11g00760,hli2s11g02153,hum1sNW_018397259.1g01403,opy300s4g00017,tc180s5g02335
cca301s6g00139,cpa1s9g00683,dz186s3g00945,ga198s9g00622,hli2s13g00701,hum1sNW_018397265.1g00290,opy300s1g00587,tc180s3g00176
cca301s6g00206,cpa1s9g01520,dz186s3g01155,ga198s3g01252,hli2s12g00604,hum1sNW_018397265.1g00319,opy300s1g00428,tc180s3g00149
cca301s6g00226,cpa1s9g01506,dz186s3g01149,ga198s3g01250,hli2s12g00593,hum1sNW_018397265.1g00355,opy300s1g00434,tc180s3g00115
cca301s6g00290,cpa1s9g01353,dz186s14g00834,ga198s11g04115,hli2s12g00550,hum1sNW_018397265.1g00404,opy300s26g00518,tc180s3g00066
cca301s6g00341,cpa1s9g01457,dz186s15g00820,ga198s10g00387,hli2s13g00423,hum1sNW_018397265.1g00454,opy300s32g00547,tc180s3g00015
cca301s6g00442,cpa1s9g00580,dz186s3g00872,ga198s9g00675,hli2s13g00650,hum1sNW_018397265.1g00178,opy300s1g00526,tc180s3g00285
cca301s6g00472,cpa1s9g00569,dz186s3g00859,ga198s9g00681,hli2s12g00678,hum1sNW_018397265.1g00168,opy300s1g00506,tc180s3g00295
cca301s6g00474,cpa1s9g00571,dz186s3g00857,ga198s11g04088,hli2s13g00637,hum1sNW_018397265.1g00157,opy300s1g00505,tc180s3g00309
cca301s6g00530,cpa1s9g00529,dz186s15g00737,ga198s7g00726,hli2s13g00575,hum1sNW_018397265.1g00127,opy300s5g01024,tc180s3g00352
cca301s6g00539,cpa1s9g00526,dz186s14g00775,ga198s11g04098,hli2s12g00650,hum1sNW_018397265.1g00123,opy300s26g00563,tc180s3g00340
cca301s6g00542,cpa1s9g00523,dz186s3g00834,ga198s3g01281,hli2s5g00623,hum1sNW_018397265.1g00116,opy300s1g00478,tc180s3g00336
cca301s6g00544,cpa1s9g00521,dz186s15g00740,ga198s3g01284,hli2s13g00589,hum1sNW_018397265.1g00114,opy300s1g00476,tc180s3g00356
cca301s6g00771,cpa1s9g01585,dz186s3g01161,ga198s7g00731,hli2s13g00518,hum1sNW_018397265.1g00028,opy300s5g01018,tc180s3g00421
cca301s6g00851,cpa1s2g02455,dz186s7g00323,ga198s6g02078,hli2s11g01611,hum1sNW_018397269.1g00396,opy300s30g00636,tc180s10g00783
cca301s6g00869,cpa1s8g00178,dz186s23g00790,ga198s10g00702,hli2s15g01729,hum1sNW_018397269.1g00320,opy300s21g00563,tc180s10g00840
cca301s6g00894,cpa1s8g01054,dz186s23g00809,ga198s6g02103,hli2s15g01741,hum1sNW_018397269.1g00310,opy300s30g00588,tc180s10g00855
cca301s6g00948,cpa1s8g01036,dz186s7g01065,ga198s10g00742,hli2s15g01770,hum1sNW_018397269.1g00273,opy300s21g00604,tc180s10g00904
cca301s6g01038,cpa1s6g02420,dz186s4g00732,ga198s4g01964,hli2s19g00941,hum1sNW_018397270.1g00144,opy300s21g00690,tc180s10g00997
cca301s6g01111,cpa1s8g00696,dz186s4g00747,ga198s4g01974,hli2s19g00905,hum1sNW_018397270.1g00187,opy300s41g00466,tc180s10g01051
cca301s6g01252,cpa1s2g01260,dz186s23g00212,ga198s4g02007,hli2s16g01365,hum1sNW_018397270.1g00295,opy300s41g00425,tc180s10g01189
cca301s6g01278,cpa1s5g00647,dz186s7g00507,ga198s8g00458,hli2s15g01690,hum1sNW_018397265.1g00466,opy300s30g00469,tc180s3g00003
cca301s6g01293,cpa1s5g01810,dz186s24g00773,ga198s2g00669,hli2s2g00123,hum1sNW_018397270.1g00084,opy300s23g00615,tc180s6g00369
cca301s6g01341,cpa1s9g01782,dz186s28g00436,ga198s10g02743,hli2s5g00414,hum1sNW_018397267.1g00697,opy300s22g00688,tc180s6g01101
cca301s6g01350,cpa1s6g02175,dz186s24g00324,ga198s5g01618,hli2s2g00815,hum1sNW_018397267.1g00686,opy300s19g00665,tc180s6g01111
cca301s6g01370,cpa1s6g02481,dz186s28g00141,ga198s5g01165,hli2s5g01125,hum1sNW_018397274.1g00126,opy300s19g00996,tc180s6g00131
cca301s6g01382,cpa1s5g01650,dz186s24g00841,ga198s5g01198,hli2s2g00001,hum1sNW_018397274.1g00122,opy300s19g00143,tc180s6g00127
cca301s6g01401,cpa1s2g02521,dz186s1g00674,ga198s9g01225,hli2s1g00848,hum1sNW_018397257.1g00384,opy300s36g00491,tc180s9g01871
cca301s6g01440,cpa1s2g01213,dz186s23g00167,ga198s5g02990,hli2s15g01846,hum1sNW_018397270.1g00231,opy300s22g01604,tc180s10g01119
cca301s6g01556,cpa1s5g01894,dz186s24g00703,ga198s5g01260,hli2s5g00946,hum1sNW_018397274.1g00307,opy300s19g00034,tc180s6g00297
cca301s6g01597,cpa1s9g01870,dz186s11g00611,ga198s10g02635,hli2s2g00730,hum1sNW_018397267.1g00797,opy300s22g00622,tc180s6g01010
cca301s6g01627,cpa1s5g01966,dz186s11g00101,ga198s2g01679,hli2s5g00906,hum1sNW_018397274.1g00229,opy300s23g00551,tc180s6g00234
cca301s6g01673,cpa1s3g00975,dz186s10g00617,ga198s5g00181,hli2s3g00307,hum1sNW_018397256.1g00525,opy300s8g01442,tc180s9g00994
cca301s6g01694,cpa1s5g02074,dz186s28g00083,ga198s5g01334,hli2s5g00879,hum1sNW_018397274.1g00166,opy300s19g00303,tc180s6g00172
cca301s6g01719,cpa1s5g02049,dz186s11g00151,ga198s10g02295,hli2s5g00871,hum1sNW_018397275.1g00157,opy300s17g01115,tc180s6g00448
cca301s6g01779,cpa1s7g00213,dz186s24g00035,ga198s6g01902,hli2s2g01215,hum1sNW_018397267.1g00062,opy300s23g00717,tc180s6g01686
cca301s6g01801,cpa1s7g00184,dz186s11g01119,ga198s6g02343,hli2s2g01195,hum1sNW_018397267.1g00095,opy300s19g00959,tc180s6g01657
cca301s6g01838,cpa1s7g00131,dz186s28g00673,ga198s6g01845,hli2s5g00088,hum1sNW_018397267.1g00146,opy300s23g00768,tc180s6g01609
cca301s6g01891,cpa1s7g00085,dz186s24g00097,ga198s10g02961,hli2s2g01138,hum1sNW_018397267.1g00211,opy300s17g01514,tc180s6g01547
cca301s6g01905,cpa1s7g00067,dz186s11g01015,ga198s5g01809,hli2s2g01130,hum1sNW_018397267.1g00226,opy300s19g00896,tc180s6g01533
cca301s6g01926,cpa1s7g00043,dz186s11g00995,ga198s6g01787,hli2s5g00138,hum1sNW_018397267.1g00254,opy300s23g00839,tc180s6g01509
cca301s6g02007,cpa1s2g02232,dz186s11g00932,ga198s6g01534,hli2s5g00215,hum1sNW_018397267.1g00364,opy300s23g00898,tc180s6g01415
cca301s6g02058,cpa1s7g00408,dz186s28g00562,ga198s9g00869,hli2s5g00257,hum1sNW_018397267.1g00427,opy300s11g00771,tc180s6g01347
cca301s6g02071,cpa1s7g00435,dz186s24g00208,ga198s10g02819,hli2s2g00981,hum1sNW_018397267.1g00456,opy300s22g00849,tc180s6g01323
cca301s6g02075,cpa1s7g00438,XP_022777354.1,ga198s5g01729,hli2s2g00978,hum1sNW_018397267.1g00461,opy300s19g00796,tc180s6g01318
cca301s6g02077,cpa1s7g00439,XP_022723357.1,ga198s6g02397,hli2s5g00271,hum1sNW_018397267.1g00462,opy300s17g01421,tc180s6g01317
cca301s6g02201,cpa1s7g00579,dz186s11g00749,ga198s10g02701,hli2s5g00366,hum1sNW_018397267.1g00613,opy300s17g01345,tc180s6g01169
cca301s6g02216,cpa1s7g00597,dz186s11g00734,ga198s10g02711,hli2s5g00380,hum1sNW_018397267.1g00634,opy300s22g00726,tc180s6g01152
cca301s6g02247,cpa1s5g01644,dz186s24g00742,ga198s5g01204,hli2s2g00157,hum1sNW_018397270.1g00011,opy300s19g00136,tc180s6g00461
cca301s6g02271,cpa1s8g00589,dz186s5g00027,ga198s8g01716,hli2s14g01616,hum1sNW_018397258.1g00058,opy300s14g01078,tc180s1g03079
cca301s6g02285,cpa1s5g01712,dz186s11g01232,ga198s10g03074,hli2s5g01073,hum1sNW_018397270.1g00061,opy300s22g00068,tc180s6g00394
cca301s6g02288,cpa1s5g01797,XP_022716406.1,ga198s5g01212,hli2s2g00134,hum1sNW_018397270.1g00070,opy300s19g00119,tc180s6g00387
cca301s6g02394,cpa1s9g01816,dz186s24g00395,ga198s5g01552,hli2s2g00708,hum1sNW_018397267.1g00825,opy300s19g00590,tc180s6g00983
cca301s6g02399,cpa1s2g01628,dz186s28g00379,ga198s10g02607,hli2s5g00490,hum1sNW_018397267.1g00831,opy300s22g00592,tc180s6g00978
cca301s6g02407,cpa1s2g01635,dz186s24g00398,ga198s6g01709,hli2s5g00493,hum1sNW_018397267.1g00841,opy300s23g00163,tc180s6g00969
cca301s6g02493,cpa1s4g01750,dz186s11g00500,ga198s5g01496,hli2s2g00636,hum1sNW_018397267.1g00950,opy300s19g00529,tc180s6g00865
cca301s6g02540,cpa1s4g01670,dz186s11g00436,ga198s4g02030,hli2s2g00586,hum1sNW_018397267.1g01033,opy300s23g00294,tc180s6g00788
cca301s6g02616,cpa1s4g01622,dz186s11g00389,ga198s6g02522,hli2s2g00535,hum1sNW_018397267.1g01084,opy300s17g01171,tc180s6g00738
cca301s6g02627,cpa1s4g02543,dz186s11g00377,ga198s2g00694,hli2s5g00669,hum1sNW_018397267.1g01101,opy300s23g00344,tc180s6g00724
